Niter,Jacobi,Gauss-Seidel,Relaxation
233.000000,-0.039764,-0.059144,-0.058072
234.000000,-0.039860,-0.059293,-0.058218
235.000000,-0.039956,-0.059442,-0.058364
236.000000,-0.040052,-0.059591,-0.058510
237.000000,-0.040148,-0.059739,-0.058655
238.000000,-0.040244,-0.059887,-0.058800
239.000000,-0.040339,-0.060035,-0.058945
240.000000,-0.040434,-0.060183,-0.059090
241.000000,-0.040530,-0.060330,-0.059234
242.000000,-0.040625,-0.060478,-0.059379
243.000000,-0.040719,-0.060625,-0.059523
244.000000,-0.040814,-0.060772,-0.059667
245.000000,-0.040909,-0.060919,-0.059810
246.000000,-0.041003,-0.061065,-0.059954
247.000000,-0.041097,-0.061211,-0.060097
248.000000,-0.041191,-0.061358,-0.060240
249.000000,-0.041285,-0.061503,-0.060383
250.000000,-0.041379,-0.061649,-0.060526
251.000000,-0.041473,-0.061795,-0.060669
252.000000,-0.041566,-0.061940,-0.060811
253.000000,-0.041659,-0.062085,-0.060953
254.000000,-0.041753,-0.062230,-0.061095
255.000000,-0.041846,-0.062375,-0.061237
256.000000,-0.041939,-0.062520,-0.061378
257.000000,-0.042031,-0.062664,-0.061520
258.000000,-0.042124,-0.062808,-0.061661
259.000000,-0.042216,-0.062952,-0.061802
260.000000,-0.042309,-0.063096,-0.061943
261.000000,-0.042401,-0.063240,-0.062084
262.000000,-0.042493,-0.063383,-0.062224
263.000000,-0.042585,-0.063527,-0.062364
264.000000,-0.042677,-0.063670,-0.062505
265.000000,-0.042768,-0.063813,-0.062645
266.000000,-0.042860,-0.063955,-0.062784
267.000000,-0.042951,-0.064098,-0.062924
268.000000,-0.043043,-0.064240,-0.063064
269.000000,-0.043134,-0.064383,-0.063203
270.000000,-0.043225,-0.064525,-0.063342
271.000000,-0.043316,-0.064667,-0.063481
272.000000,-0.043406,-0.064808,-0.063620
273.000000,-0.043497,-0.064950,-0.063758
274.000000,-0.043588,-0.065091,-0.063897
275.000000,-0.043678,-0.065233,-0.064035
276.000000,-0.043768,-0.065374,-0.064173
277.000000,-0.043858,-0.065515,-0.064311
278.000000,-0.043948,-0.065655,-0.064449
279.000000,-0.044038,-0.065796,-0.064587
280.000000,-0.044128,-0.065936,-0.064724
281.000000,-0.044217,-0.066077,-0.064861
282.000000,-0.044307,-0.066217,-0.064998
283.000000,-0.044396,-0.066357,-0.065136
284.000000,-0.044486,-0.066497,-0.065272
285.000000,-0.044575,-0.066636,-0.065409
286.000000,-0.044664,-0.066776,-0.065546
287.000000,-0.044753,-0.066915,-0.065682
288.000000,-0.044841,-0.067054,-0.065818
289.000000,-0.044930,-0.067193,-0.065954
290.000000,-0.045019,-0.067332,-0.066090
291.000000,-0.045107,-0.067471,-0.066226
292.000000,-0.045195,-0.067609,-0.066362
293.000000,-0.045283,-0.067748,-0.066497
294.000000,-0.045372,-0.067886,-0.066633
295.000000,-0.045459,-0.068024,-0.066768
296.000000,-0.045547,-0.068162,-0.066903
297.000000,-0.045635,-0.068300,-0.067038
298.000000,-0.045723,-0.068438,-0.067172
299.000000,-0.045810,-0.068575,-0.067307
300.000000,-0.045898,-0.068713,-0.067442
301.000000,-0.045985,-0.068850,-0.067576
302.000000,-0.046072,-0.068987,-0.067710
303.000000,-0.046159,-0.069124,-0.067844
304.000000,-0.046246,-0.069261,-0.067978
305.000000,-0.046333,-0.069398,-0.068112
306.000000,-0.046420,-0.069534,-0.068245
307.000000,-0.046506,-0.069671,-0.068379
308.000000,-0.046593,-0.069807,-0.068512
309.000000,-0.046679,-0.069943,-0.068646
310.000000,-0.046766,-0.070079,-0.068779
311.000000,-0.046852,-0.070215,-0.068912
312.000000,-0.046938,-0.070351,-0.069045
313.000000,-0.047024,-0.070486,-0.069177
314.000000,-0.047110,-0.070622,-0.069310
315.000000,-0.047196,-0.070757,-0.069442
316.000000,-0.047281,-0.070892,-0.069575
